question,topic,crop,agro_zone,document_id,reference_answer,QuestionId
What are the main problems that make smallholder potato farmers in Ethiopia unable to reach the crop's yield potential?,crop_diseases,general,highland,doc_dis_049,"They lack quality seed potatoes and reliable seed-quality assurance, so high disease incidence in seed reduces yield.",200
Which data sources were used to estimate the area under small-scale irrigation in the Lake Tana sub-basin?,water_management,general,semi_arid,doc_wat_023,The area was estimated using data obtained from woredas (district) databases.,201
What viral diseases are affecting cassava in my region?,crop_diseases,cassava,sub_humid,doc_dis_051,"Cassava is seriously damaged by viral diseases, including novel ampeloviruses (Closteroviridae) that have been identified in field-grown cassava across several countries.",202
Which snail species were found in the study sites?,crop_diseases,general,highland,doc_dis_052,"Three species were identified: Lymnea natalensis, Bulinus globosus, and one other species (not named in the excerpt).",203
What sensory qualities should I look for in cooking bananas to meet consumer preferences?,general,general,highland,doc_gen_059,"Consumers prefer matooke with a high-intensity yellow color, evenly distributed yellow, good aroma, a highly moldable feel, and moist, smooth mouthfeel.",204
Which mangrove species is most abundant in early succession areas that I could look for to help my abandoned rice fields recover naturally?,climate_adaptation,general,sub_humid,doc_cli_047,"In early succession, Barringtonia racemosa is the most abundant mangrove species, with an Importance Value Index of 67.9.",205
How can I detect changes in land use and cover in the Richard Toll area?,general,general,semi_arid,doc_gen_060,Apply deep-learning models to analyze satellite images of the region for change detection.,206
What happened to crops when there were floods at the start of the season?,climate_adaptation,general,highland,doc_cli_048,"The floods caused farmers to lose property and crops, with water lodging damage to fields.",207
How can I choose a sorghum variety that has good genetic diversity for my farm in this sub-humid area?,general,sorghum,sub_humid,doc_gen_061,Pick varieties that come from different races and origins; African accessions contain most of the diversity (88.6 %) and can be identified using EST-SSR markers that show 360 distinct alleles.,208
What is a gross margin and how can it help me make more profit from my pigs?,livestock,livestock,sub_humid,doc_liv_044,"Gross margin is the difference between the revenue from selling pigs and the total cost of raising them, and it shows how profitable each unit of pig production is, helping you manage costs and income more effectively.",209
Can I use litterbags to measure nitrogen and phosphorus loss from my cocoa leaf litter?,fertiliser,general,sub_humid,doc_fer_023,"Yes, the study used 2 mm mesh litterbags to exclude macrofauna and open frames to allow macrofauna access, measuring nutrient loss over 388 days.",210
How much more sediment does a smallholder farm catchment produce compared to a tea-tree plantation in the Mau Forest area?,general,general,highland,doc_gen_062,"The smallholder agriculture-dominated catchment produced about 131.5 t km−2 yr−1, roughly three times the 42.0 t km−2 yr−1 of the tea-tree plantation.",211
What does IFPRI do to help farmers in Ethiopia and Tanzania?,general,general,sub_humid,doc_gen_064,IFPRI provides research-based policy solutions to sustainably reduce poverty and end hunger and malnutrition.,212
What does this special issue say about the changes in rice yields over the past 50 years?,climate_adaptation,general,highland,doc_cli_049,"It covers rice yield trends and yield gap analyses, showing that rice yields remain relatively low with large gaps.",213
How can I connect my orange-fleshed sweet potato (OFSP) farm with Urwibutso Enterprise for processing?,general,general,sub_humid,doc_gen_065,"Reach out to Urwibutso Enterprise in Nyirangarama, Rulindo District, as the company partners with the SUSTAIN project to link OFSP farmers for product manufacturing.",214
What are the main challenges of the seed yam value chain?,fertiliser,general,sub_humid,doc_fer_024,"The main challenges are quality, availability, accessibility, and affordability.",215
"How many livestock abortion alerts were received during the community call centre pilot in Isingiro District, Uganda?",crop_diseases,livestock,sub_humid,doc_dis_057,53 alerts were received reporting 423 livestock abortions.,216
How does the increasing variability of rainfall in my area affect the way I should manage water for my livestock?,water_management,livestock,semi_arid,doc_wat_024,"Variable rainfall can reduce the availability of pasture and water, so you should plan to conserve water, improve water storage, and adjust grazing patterns to avoid over-exploiting scarce water resources.",217
"How does fertilizer application affect sorghum yields on upslope, mid-slope, and foot-slope fields?",fertiliser,sorghum,semi_arid,doc_fer_027,"Yield response is linked to combinations of N, P, K, S, and Zn, and varies by field position (upslope, mid-slope, foot-slope).",218
When was the workshop on co-designing land restoration options in Makueni County held?,general,general,semi_arid,doc_gen_067,It was held on 27th October 2021.,219
How can I increase the market share of my improved rice?,general,general,sub_humid,doc_gen_068,Use exogenous information treatments-such as a video broadcast or radio transcript-about the benefits of your locally produced improved rice to raise its market share.,220
Can e-book readers help me get livestock information in my remote area?,livestock,livestock,highland,doc_liv_046,"Yes, the International Livestock Research Institute in Ethiopia has tested e-book readers for their practicality in rural areas.",221
How can I get pathogen-tested planting material for the released sweetpotato varieties?,crop_diseases,general,sub_humid,doc_dis_059,Pathogen-tested plants of four released varieties have been introduced to Ghana for comparison and confirmation. Use these tested plants for planting.,222
How can I test if my boiled potatoes are soft enough for market?,crop_diseases,general,sub_humid,doc_dis_060,Use a texture analyzer (TA-XT) to perform Texture Profile Analysis on 25 mm cubes steamed for 15 min; compare the results to the discriminant procedures developed by the RTBBreeding project.,223
Why did maize prices rise in Kenya and Uganda but fall in Tanzania in October-November?,livestock,general,sub_humid,doc_liv_047,"Prices changed partly because governments in each country intervened to control rising fuel costs, affecting supply and demand differently in each market.",224
How can I identify and use resistant coffee genotypes to reduce disease in my farm's hot spots?,crop_diseases,general,sub_humid,doc_dis_062,"Identify resistant genotypes through surveys and marker-based genetic studies, then plant those resistant varieties in the hot spot areas to reduce disease impact.",225
Where can I get soil testing done quickly and affordably?,fertiliser,general,highland,doc_fer_029,"The article mentions on-spot, easy and affordable soil testing for Kenyan smallholder farmers.",226
What kinds of climate smart tools are included in the training kit that I could use for my farm?,climate_adaptation,general,highland,doc_cli_056,"The kit includes a variety of science-based tools and processes to support climate smart approaches, but specific tools are not listed in the excerpt.",227
Is Aflasafe suitable for protecting my sorghum crops from aflatoxins?,general,sorghum,sub_humid,doc_gen_074,"The study is testing its suitability in sorghum, but results are not yet defined.",228
What is the role of actors that play brokerage functions in improving innovation capacity in livestock farming?,livestock,general,sub_humid,doc_liv_048,"They help navigate or dismantle policy and cultural barriers, reducing networking costs and boosting connectivity among actors.",229
Which yellow or orange banana and plantain varieties have the most carotenoids that I can grow for my family's nutrition?,crop_diseases,general,sub_humid,doc_dis_065,The CARBAP collection lists yellow- and orange-fleshed bananas and plantains with significant total carotenoids; use the colour-fan screening method to identify the highest-carotenoid accessions.,230
Does planting coffee under mature tree shade improve the yields on my farm?,general,general,sub_humid,doc_gen_076,"Yes, coffee yields are significantly higher under mature tree crowns compared to unshaded spots.",231
What cassava stem cutting and seed multiplication techniques did Radio IITA's outreach program share that could boost my farm's productivity?,general,cassava,sub_humid,doc_gen_077,The program taught innovative stem cutting methods and seed multiplication practices that significantly increased your cassava yield.,232
How can I tell if the food I need will be affordable for my household?,general,general,highland,doc_gen_078,Use the wages of unskilled workers as an inexpensive income proxy to gauge changes in food affordability.,233
How common are parasites in the cyprinodont fish species studied?,general,general,sub_humid,doc_gen_079,"Only 149 of 1019 fish (≈14.6 %) were infected, indicating very low parasite prevalence.",234
How can we help improve coordination between local agencies to better manage markets?,general,general,sub_humid,doc_gen_081,"Strengthen rule enforcement, reduce jurisdictional overlaps, and address capacity weaknesses so agencies work together effectively.",235
How much exogenous ABA was applied to the apple trees in the study?,general,general,semi_arid,doc_gen_082,"500 mg kg−1, applied twice.",236
How can I get support to plant trees like Faidherbia albida or Prosopis africana in my fields?,post_harvest,general,sub_humid,doc_pos_011,"Since 1996 the DPGT project subsidises the retention of every new tree planted in fields, so you can apply for that support to grow Faidherbia albida or Prosopis africana.",237
How can flooding affect transport and my ability to get my crops to market?,climate_adaptation,general,highland,doc_cli_064,"Flooding can damage transport infrastructure, disrupting food security and communication, and making it harder for farmers to move produce to market.",238
What do the recent trials predict about potato yield traits?,general,general,highland,doc_gen_084,The trials produced BLUPs predicting potato yield traits for clones at advanced and intermediate stages across Kenya's major potato-growing regions.,239
How many hectares of land in Tharaka Nithi County are used for food crops?,livestock,general,"highland, semi_arid",doc_liv_050,"Approximately 43,799 hectares are under food crops.",240
What types of water sources can I use for small-scale irrigation to increase my food production?,water_management,livestock,sub_humid,doc_wat_026,"You can use groundwater, rivers or streams, lowland/inland valley rice capture systems, or private small reservoirs and ponds for irrigation.",241
How can I use the Global Findex database to improve access to financial services for smallholders in my area?,general,general,semi_arid,doc_gen_087,"Use the Global Findex to track changes in financial service use over time and identify gaps in access for rural, poor, or women farmers, guiding targeted policy or business interventions.",242
How can I use the new fertilizer advisory to improve my crop yields while saving money?,fertiliser,general,highland,doc_fer_034,"Apply the 2020 landscape-based fertilizer advisory that gives site-specific recommendations, improving nutrient use efficiency, raising yields, and lowering costs.",243
How much land did Ethiopia pledge to restore as part of the Bonn Challenge?,general,general,highland,doc_gen_089,Ethiopia pledged to restore 22 million hectares.,244
What amount of potassium and phosphorus should I apply to ensure they are not limiting on my upland rice fields?,fertiliser,general,highland,doc_fer_036,Apply 40 kg K2O ha−1 and 40 kg P2O5 ha−1.,245
What is the ProSavana programme mentioned in the study?,general,general,sub_humid,doc_gen_091,ProSavana is a Brazilian-Japanese-Mozambican trilateral program focused on development trends in Mozambique.,246
How can the red ants in my area affect my farm's insect population or crop health?,general,general,sub_humid,doc_gen_092,They decimate local invertebrates and threaten the biological balance in the region.,247
What were the main goals of the sustainable land management interventions introduced in Geda watershed in 2012?,soil_health,livestock,highland,doc_soi_013,"They aimed to reduce soil erosion, improve water infiltration, and increase plant-carbon inputs into the soil.",248
What roles do women play in the vegetable market in Tamale?,climate_adaptation,general,semi_arid,doc_cli_066,"Women are known as market queens; they buy vegetables from farm gates and sell them in the market, while men usually do not sell.",249
How does aluminum toxicity affect sorghum growth?,fertiliser,sorghum,sub_humid,doc_fer_037,"It impairs root growth, strongly limiting crop yield.",250
What kind of drought relief should we focus on to protect our livestock in these drylands?,livestock,livestock,"highland, semi_arid",doc_liv_053,"Target relief directly at livestock, because pastoralists depend on them for basic needs; protecting livestock preserves economic and food security during drought.",251
What activities has the Living Lab for People (LL4P) carried out in Nandi County to support local innovation?,climate_adaptation,livestock,highland,doc_cli_067,"LL4P has formed an advisory board, set an innovation agenda, developed an assessment framework that selected 10 innovation cases, and conducted mental modeling workshops with fuzzy cognitive mapping.",252
Who usually owns the land that could be used for urban development in Enugu?,general,general,sub_humid,doc_gen_096,"Most of the land available for conversion is held by indigenous land-owning communities, governed by customary tenure.",253
How can irrigation help my farm in the Chinyanja Triangle?,water_management,general,sub_humid,doc_wat_027,"Irrigation can stabilize crop production during dry or flood periods, improving food security and livelihoods in this area.",254
How can shallow wells help improve my farm's productivity?,livestock,general,"highland, semi_arid",doc_liv_055,"Shallow wells are an untapped resource that can provide extra water, reducing the farm's reliance on the short, variable rainy season and mitigating soil water shortages.",255
Does using crossbred cattle with European genes make my cows more prone to infectious diseases?,crop_diseases,livestock,semi_arid,doc_dis_075,"Yes, European introgression can increase infectious disease susceptibility compared to indigenous breeds.",256
Can I mix a small amount of resistant bean varieties into my current mix to reduce angular leaf spot?,crop_diseases,beans,highland,doc_dis_077,"Yes, adding at least 25 % of resistant lines such as BAT76 or A285 to your existing mixture lowered angular leaf spot severity in most seasons.",257
In which countries is Coffee Wilt Disease (CWD) currently spreading?,crop_diseases,general,sub_humid,doc_dis_078,"CWD is spreading in the Democratic Republic of the Congo, while it is widespread in Uganda and Ethiopia and restricted in Tanzania.",258
What kind of texture should I look for in sweetpotatoes to make them more popular with consumers?,general,general,sub_humid,doc_gen_097,"Sweetpotato consumers prefer a firm texture; selecting varieties with higher firmness, as measured by instrumental texture tests, tends to increase consumer liking.",259
How common is yam mosaic disease on farms in Cameroon and how severe is it?,crop_diseases,general,sub_humid,doc_dis_081,"Symptoms were found on 81.5 % of farms, with incidence ranging from 0 % to 96.7 % and an overall mean of 26.5 %; symptom severity (scale 1-5) ranged from 2 to 4.1, averaging 2.6.",260
Is sorghum a good crop for my semi-arid farm that often experiences droughts?,climate_adaptation,sorghum,semi_arid,doc_cli_073,"Yes, sorghum is extremely drought tolerant and is an excellent choice for arid and dry areas.",261
What was the purpose of the groundnut workshops mentioned in the excerpt?,general,groundnuts,sub_humid,doc_gen_099,They were held to let stakeholders identify groundnut production issues and develop strategies to improve project workplans and ensure more sustainable outcomes.,262
How can the BMP of IGAD help me protect biodiversity in my farmland?,general,general,semi_arid,doc_gen_100,"The BMP promotes sustainable biodiversity conservation in the Tana-Kipini-Laga Badana Bushland and Seascape, supporting natural systems that farmers like you rely on.",263
When do market prices for my stored crops start to rise?,post_harvest,general,semi_arid,doc_pos_013,Prices increase significantly within six months of storage.,264
What were the measured estrogen levels in the wastewater ponds used for African catfish farming?,general,general,sub_humid,doc_gen_101,The study found mean 17-estradiol concentrations of 6.6 ng L−1 in the wastewater polishing pond (WWP) and 2.7 ng L−1 in the wastewater stabilization pond (WSP).,265
How well do the new wheat varieties perform in highland areas like ours?,general,general,highland,doc_gen_102,"They were evaluated for adaptability, performance, and yield stability over two years (2020/2021-2021/2022) in four districts of the East Gujjar Zone, showing good results.",266
How many meat outlets are there per area in Brazzaville compared to Kinshasa?,general,general,sub_humid,doc_gen_103,Brazzaville has more meat outlets per area sampled and per inhabitant than Kinshasa.,267
"How common are bacterial infections in guinea pigs, and which bacteria are most often involved?",crop_diseases,livestock,sub_humid,doc_dis_085,"About 39% of owners reported bacterial infections, commonly caused by Bordetella bronchiseptica and Streptococcus pneumoniae.",268
What improved post-harvest handling and storage techniques can help reduce losses?,post_harvest,maize,sub_humid,doc_pos_014,The study focuses on improved post-harvest handling and storage techniques to reduce food losses and improve farmer conditions.,269
"Should I use insecticides on potato crops, and do I need protective gear?",crop_diseases,general,highland,doc_dis_086,"In Rwanda and Burundi, insecticides are commonly used on potato, but most are moderately hazardous. Use protective gear, as less than half of farmers do, to reduce health risks.",270
How can I prevent dodder vines from spreading on my farm?,general,general,highland,doc_gen_105,"Stop deliberate or accidental seed/vine dispersal, eradicate existing dodder plants, and monitor for new arrivals.",271
How can I use the new climate information to make better decisions for my livestock?,climate_adaptation,livestock,highland,doc_cli_075,"Ask extension workers trained in CRMALE to help you access local weather data, analyze risks, and adapt livestock practices to suit current climate conditions.",272
How do I access the Climate and Agriculture Network for Africa (CANA) online?,climate_adaptation,general,highland,doc_cli_078,CANA is a web-based knowledge platform; you can visit it through its website to explore climate-smart agriculture resources.,273
What is bayoud and where has it first appeared in Mauritania?,crop_diseases,general,semi_arid,doc_dis_089,"Bayoud is a devastating disease of palm trees caused by the fungus Fusarium oxysporum albedinis, and it has appeared for the first time in Tagant, central Mauritania.",274
What should I select for when breeding my small ruminants in a community-based program?,livestock,livestock,highland,doc_liv_057,"Focus on improving the 6-month weight of the kids, and if you have enough feed and water, also select for higher twinning rates.",275
Which countries were represented at the FAO workshop on sustainable pastoral ecosystems?,climate_adaptation,general,semi_arid,doc_cli_081,"Participants came from Algeria, Jordan, Mauritania, Morocco, Saudi Arabia, Sudan, and Tunisia.",276
What opportunities are there to help farmers in Ethiopia address climate risks in their crops?,climate_adaptation,general,sub_humid,doc_cli_082,Investors can fund resilience projects that use adaptive strategies and innovative financial solutions to protect Ethiopia's agricultural value chains from climate risks.,277
Does using improved groundnut seeds help women farmers get higher yields?,general,groundnuts,sub_humid,doc_gen_108,"Yes, improved groundnut seeds increase yields for female plot managers, although they do not boost yields for male plot managers.",278
How can rodents damage my stored crops and what does the survey say about their presence in different storage practices?,post_harvest,general,sub_humid,doc_pos_015,"Rodents cause both pre- and post-harvest damage, and the survey found evidence of rodent access in every type of storage practice used in the studied villages.",279
How can I improve my cattle feeding to increase milk production in my area?,livestock,livestock,semi_arid,doc_liv_061,"Use the FEAST Feed Assessment Tool to evaluate and improve your feed supply, which has helped Kenyan farmers boost milk productivity.",280
What research methods were used in the study on sustainable agriculture in Ghana?,soil_health,general,sub_humid,doc_soi_015,"Key informant interviews, focus group discussions, and a semi-structured questionnaire administered to 300 households.",281
Will partnering with an inclusive business help my farm grow and get better market access?,general,general,semi_arid,doc_gen_109,"Yes, inclusive businesses partner smallholders with agribusinesses, embedding them into commercial value chains, which can enhance market access and support rural development.",282
What is ADCIN and what does it aim to do?,general,general,semi_arid,doc_gen_110,"ADCIN is the Africa Dryland Crops Improvement Network, a collaborative network launched in 2023 that brings together more than 17 countries and 200 scientists to accelerate genetic gain in dryland crops across sub-Saharan Africa.",283
Will using LED lights or spraying MeJA/MeSA help my strawberry plants grow better or produce sweeter fruit?,climate_adaptation,general,highland,doc_cli_086,"According to this study, LED lights and MeJA/MeSA treatments did not significantly change shoot growth, chlorophyll content, or fruit sugar levels.",284
How can I use Aflasafe to protect my maize and groundnut crops from aflatoxins?,climate_adaptation,general,sub_humid,doc_cli_087,"Apply Aflasafe products to your fields before planting; IITA's partners treated over 100,000 ha in 2017, enabling safe maize and groundnut production.",285
How can I avoid mycotoxin contamination in my maize after harvest?,post_harvest,general,highland,doc_pos_017,"Store maize properly to prevent fungal growth; keep it dry and clean to reduce aflatoxin risk, which can make large amounts of maize unfit for consumption.",286
What water harvesting schemes are being tried in northern Kenya?,climate_adaptation,general,semi_arid,doc_cli_088,Several new water harvesting schemes are being tried in northern Kenya.,287
Which Nguni crossbreed grows faster in a feedlot?,livestock,livestock,semi_arid,doc_liv_065,"The study does not specify that any crossbreed grows faster; live weight at entry was similar across Nguni, Landim, and crosses.",288
Pourquoi les semoirs à traction bovine à 2 rangs ne conviennent pas aux petits producteurs en Afrique de l'Ouest ?,general,general,semi_arid,doc_gen_112,"Ils ne répondent pas aux attentes car les densités de semis et les doses d'engrais sont irrégulières, et leur maniabilité est insuffisante.",289
How does the Nigeria SAM break down domestic production?,general,general,sub_humid,doc_gen_113,It separates domestic production into 42 activities.,290
How many pigs are in Uganda today?,livestock,general,sub_humid,doc_liv_066,"Uganda has between 0.19 and 2.3 million pigs, with numbers rising over the last 30 years.",291
How many improved rice varieties were tested in the Ghana study?,crop_diseases,general,semi_arid,doc_dis_095,Thirteen improved rice varieties were tested in the field experiments.,292
How much yield improvement can I expect from the improved maize variety under drought conditions?,climate_adaptation,maize,sub_humid,doc_cli_089,The improved variety can yield about 423 kg per hectare per cycle under drought stress.,293
"Which rice varieties are best for upland, high-land areas?",fertiliser,general,highland,doc_fer_041,"NERICA varieties, developed for both irrigated/lowland and upland systems, along with other high-yielding upland rice varieties, are best suited for high-land production.",294
How can I get a loan if I don't have collateral?,climate_adaptation,general,semi_arid,doc_cli_090,"You can access tailored microfinance through partners like Zambuko Trust or join upgraded ISALs turned into SACCOs, both designed to help farmers without collateral.",295
How can I identify health and productivity constraints on my pig farm?,livestock,livestock,sub_humid,doc_liv_067,"Use a holistic Veterinary Herd Health Management approach to spot likely pathogens, recognise herd‐level constraints, and calculate growth, mortality and reproduction figures.",296
Will the new maize varieties from Pioneer Hi-bred help protect my fields from grey leaf spot and give me good yields?,crop_diseases,maize,sub_humid,doc_dis_097,"Yes, the new varieties are designed to fight grey leaf spot and have been shown to yield 9-11 t/ha.",297
Why are wheat prices high in Kenya?,general,general,semi_arid,doc_gen_115,"Wheat shortages caused by supply disruptions from the Russia-Ukraine conflict have driven price hikes, especially affecting urban consumers.",298
When should I harvest orange maize for the best quality in my sub-humid area?,fertiliser,maize,sub_humid,doc_fer_042,"Harvest at 27 days after planting, when peak viscosity and water absorption are highest.",299
Do the bean varieties NUA35 and NUA56 contain more iron and zinc in their seeds than the commercial variety CAL96?,general,beans,sub_humid,doc_gen_116,"They were selected from a population for high seed mineral content and tested alongside CAL96, but specific iron and zinc levels are not provided in this excerpt.",300
How can I find current local prices for my produce in my area?,general,general,semi_arid,doc_gen_117,"Use the subnational price survey data set, which provides ongoing local price estimates via machine learning.",301
Is there a lot of genetic diversity in Ethiopian durum wheat that could help improve my wheat varieties?,general,general,highland,doc_gen_118,"Yes, the study shows that Ethiopian durum wheat landraces contain high genetic diversity, providing potential for breeding improved varieties.",302
How can smallholder pastoralists in Somalia reduce their vulnerability and improve market access for livestock?,livestock,livestock,semi_arid,doc_liv_068,"By strengthening the use of indigenous knowledge and engaging industry and government to improve marketing and safety of livestock products, as outlined in the project's objectives.",303
What proportion of farmers grow cassava in Uganda?,general,cassava,sub_humid,doc_gen_120,About 60% of farmers grow cassava.,304
How does the Early Warning and Rapid Response System for Pests and Diseases help farmers in Ghana?,pests,general,sub_humid,doc_pes_014,It led the development of a risk reporting tool that helps farmers identify and respond to pest and disease threats.,305
What is the goal of the Sustainable Intensification of Mixed Farming Systems Initiative?,livestock,general,highland,doc_liv_070,"It aims to give equitable, transformative pathways for better livelihoods of actors in mixed farming systems by promoting sustainable intensification in the target agroecologies and socio-economic settings.",306
Do rural communities in Zambia receive direct incentives from forest management?,general,general,sub_humid,doc_gen_124,"Yes, rural communities obtain direct incentives from forest management.",307
Does using insecticide-impregnated Agronet nets help reduce cabbage diseases?,crop_diseases,general,highland,doc_dis_104,"The study documented disease incidence and severity levels on cabbage grown under insecticide-impregnated Agronets, showing that these nets are used to manage insect pests and microclimate, but specific disease-reduction results are not detailed.",308
What are CSAIPs and how can they help me with my farm?,climate_adaptation,general,semi_arid,doc_cli_096,"CSAIPs are Climate-Smart Agriculture Investment Plans that help countries decide where to invest in resilient food systems, prioritise high-impact areas, and align actions with national climate goals.",309
"What was the main focus of the workshop held in Mansa, Luapula Province on April 28, 2022?",livestock,livestock,sub_humid,doc_liv_071,"The workshop focused on aquaculture, especially issues related to financing for smallholder farmers and small- and medium-scale enterprises in the face of climate challenges.",310
How does treating the head of a gully reduce the sediment that falls into reservoirs?,soil_health,general,"highland, sub_humid",doc_soi_018,"Treating the gully head helps reduce sediment loads, preventing downstream reservoirs from losing storage capacity due to sedimentation.",311
Will the SLM program help improve water availability for my farm?,general,general,highland,doc_gen_127,"The study looks at SLM's impact on water security, so it is expected to improve water availability for farmers in the watershed.",312
At what age should I harvest my OFSP to get the best yield and beta-carotene?,post_harvest,general,semi_arid,doc_pos_018,"Harvest the sweet potato at 120, 150, 180, or 210 days after planting - the study compared these stages to find the optimal time for yield and nutrition.",313
Does the study show that there is genetic diversity among rice varieties we can use for breeding?,general,general,sub_humid,doc_gen_130,"Yes, the genotypes differ significantly, indicating an adequate genetic variability.",314
What are the two main types of technologies that are debated as best for smallholder farmers in Africa?,climate_adaptation,maize,sub_humid,doc_cli_098,Natural resource management (NRM) technologies and input intensification with a stronger role of the private sector.,315
Did any of the pigs in my low-input free-range herd show African swine fever during this study period?,crop_diseases,livestock,sub_humid,doc_dis_108,"No recorded outbreak of clinical ASF was reported, and the 276 blood samples tested were negative for ASFV.",316
How does using mineral fertilizer and organic inputs with an improved cassava variety help my farm?,fertiliser,cassava,highland,doc_fer_046,"It lets you identify nutrient limits, see how the variety and inputs affect growth and yield, and evaluate the profitability of the improved variety and fertilizer use.",317
Which processing methods are used to make the local cake Yaabande from Ziziphus mauritiana fruit?,post_harvest,general,sub_humid,doc_pos_019,"Yaabande is made by three baking techniques: sun drying, steam baking and stifle baking.",318
How much more maize can I produce if I plant the drought-tolerant variety compared to the regular improved maize?,climate_adaptation,maize,semi_arid,doc_cli_099,"Drought-tolerant maize gives about 680 kg/ha versus 436 kg/ha for non-DT varieties, roughly 244 kg/ha more yield.",319
At what ripening stage can I cook and eat the new biofortified vitamin A banana/plantain?,fertiliser,general,sub_humid,doc_fer_049,"You can cook and consume it at any ripening stage, as it is a cooking-type variety.",320
Does Rwanda have a national livestock master plan?,livestock,livestock,sub_humid,doc_liv_073,"Yes, Rwanda has a Livestock Master Plan that guides livestock investment and policy.",321
How can I know if a boiled yam will be crumbly?,general,general,sub_humid,doc_gen_131,Crumbly texture depends on the yam variety and is linked to hardness measured by a penetration test; new texture parameters and dynamic rheology analyses are also used to identify the traits that represent or correlate with crumbliness.,322
How many different sowing windows were tested in the experiment?,general,maize,sub_humid,doc_gen_132,"Six sowing windows, each a week apart, were used.",323
What useful traits do the yam landraces in the DRC have for farming?,general,general,sub_humid,doc_gen_133,"They show stress resilience and good food quality, which can be used in breeding programs.",324
What is the PPCR program in Mozambique?,climate_adaptation,general,sub_humid,doc_cli_100,"Mozambique is part of the Pilot Program for Climate Resilience, a flagship project of the Climate Investment Funds managed by the World Bank and other Multilateral Development Banks.",325
What level of 6-benzylaminopurine (BAP) gives the best shoot induction in taro micropropagation?,general,general,highland,doc_gen_134,The highest shoot induction in both Purple Wild and Dasheen taro varieties was achieved when Murashige & Skoog media was supplemented with 2 mg/L BAP.,326
What is AICCRA and who runs it?,climate_adaptation,general,semi_arid,doc_cli_101,"AICCRA is a project that helps deliver a climate-smart African future driven by science and innovation in agriculture, led by the Alliance of Bioversity International and CIAT and supported by a grant from the International Development Association (IDA).",327
How much is the average farmer willing to pay for the preferred CBPP vaccine and vaccination in Narok District?,livestock,livestock,semi_arid,doc_liv_074,The average farmer is willing to pay about KSh 212.48 (USD 3.03) for the preferred CBPP vaccine and vaccination.,328
Which gene is linked to sheep's ability to adapt to high altitude in the Himalayan region?,livestock,livestock,highland,doc_liv_075,The FGF-7 (Keratinocyte growth factor-7) gene.,329
How many watersheds were delineated in the study?,general,general,highland,doc_gen_136,The study delineated 76 watersheds.,330
How many farmers will benefit from the new fertilizer advisory system?,fertiliser,general,semi_arid,doc_fer_050,"Over 15,000 farmers.",331
What is a sustainable way to control East Coast fever in my cattle?,crop_diseases,livestock,semi_arid,doc_dis_115,"Use the infection and treatment method (ITM) immunisation, which is increasingly employed for control.",332
¿Qué herramientas necesitan los agricultores en el Sahel para adaptarse a los cambios climáticos?,climate_adaptation,general,semi_arid,doc_cli_103,Los agricultores necesitan nuevas herramientas que les ayuden a adaptarse al clima en su propio entorno.,333
How can I get high-resolution land surface temperature data for my farm?,general,general,"semi_arid, sub_humid",doc_gen_139,"You can downscale LST to 10 m resolution using methods like Thermal Sharpening (TsHARP), Thin Plate Spline (TPS), or Random Forest (RF).",334
How can I help with water quality monitoring in my community?,general,general,semi_arid,doc_gen_140,"Join local stakeholder groups or work with extension workers and NGOs to share observations and data on water quality, as this participation is encouraged by policies.",335
How can I choose the right sorghum and bean varieties to cope with the climate changes in my semi-arid area?,climate_adaptation,general,"semi_arid, sub_humid",doc_cli_105,"Use data-driven, decentralized breeding that tests many locally adapted varieties, captures G × E interactions, and includes your preferences for climate-smart choices.",336
What is the purpose of the Dairy Development Forum in Tanzania?,livestock,livestock,highland,doc_liv_078,It is an informal forum established in 2013 to facilitate policy dialogue and catalyse inclusive and sustainable innovation in the smallholder dairy value chain.,337
Which insecticide can I use to control cowpea thrips and Maruca bugs?,pests,general,sub_humid,doc_pes_016,New insecticide combinations control thrips as effectively as Monocrophos and also significantly reduce Maruca vitrata populations.,338
What actions did Nile Breweries take to improve the resilience of sorghum farmers in Uganda?,climate_adaptation,general,sub_humid,doc_cli_107,"Nile Breweries used the CCAFS Guide to assess climate resilience, partnered with TechnoSer, and focused on local sourcing and sustainability commitments to strengthen sorghum supply chains.",339
How can a rural community get electricity without being connected to the main grid?,general,general,sub_humid,doc_gen_143,"Rural areas can use community-based small systems like those in Kisiizi or Mvara, or diesel generators set up by UEB, as interim solutions while awaiting grid connection.",340
Will the ISRIZ09 aromatic hybrid rice give me a high yield while still being aromatic?,general,general,sub_humid,doc_gen_144,"Yes, ISRIZ09 combines aroma with high yield potential and was released for use in Senegal in 2017.",341
How will rising temperatures affect the tsetse fly population in my area?,crop_diseases,livestock,semi_arid,doc_dis_120,"Increasing temperatures may reduce tsetse abundance, as shown by the decline in the Mana Pools site between 1990 and 2017.",342
Is the irrigation water suitable for maize because of its salinity and pH?,fertiliser,maize,sub_humid,doc_fer_053,"Yes, the irrigation water is non-saline (EC <0.2 dS m−1) and has a normal pH of 6.5-7.5, which is suitable for maize.",343
How can I get up-to-date market and price information for my products?,general,general,sub_humid,doc_gen_145,"Visit the community telecentre in Nakaseke, where a CD-ROM with market and price information is available.",344
How likely is it that I will receive infected day-old chicks when I import them legally in Ethiopia?,crop_diseases,general,highland,doc_dis_121,The annual probability of importing at least one infected DOC is 23% (90% CI: 0.4%-96%) and an infection is expected roughly every 3.8 years under current conditions.,345
